FirstName,LastName,Gender,Age,MarriageStatus,PhoneNumber,NetYearlyIncome,HighValueIndividual
Maisy,O'Doherty,,,,,,
Maisy,O'Doherty,Female,26.0,Single,488 238-8338maisyodoherty@gmail.com,73000.0,No
Ellis,Ross,Female,66.0,Married,(830) 694-4738ellisross@gmail.com,176000.0,No
Dana,Oconnor,Female,52.0,Married,(296)855-2148danaoconnor@gmail.com,266000.0,No
Gareth,Ferrell,Male,46.0,Single,882400-9859garethferrell@gmail.com,729000.0,Yes
Jaime,Boone,Male,,Married,(569) 6117858jaimeboone@gmail.com,460000.0,Yes
Jemma,Sloan,Female,41.0,Married,(730)864-9016jemmasloan@gmail.com,480000.0,Yes
Blake,Monroe,Male,73.0,,(903) 899-6641blakemonroe@gmail.com,427000.0,
Lilly-Rose,Humphrey,Female,29.0,Single,(897) 854-9070lilly-rosehumphrey@gmail.com,368000.0,Yes
Ruairi,Schmidt,Male,30.0,Single,(766) 325-9938ruairischmidt@gmail.com,936000.0,Yes
Cody,Drake,Male,56.0,Married,(740) 812-6242codydrake@gmail.com,283000.0,No
Mark,Barton,Male,52.0,Married,(635) 350-3681markbarton@gmail.com,33000.0,No
Mackenzie,Stone,Female,74.0,Single,502860-7035mackenziestone@gmail.com,83000.0,No
Ashton,Hanna,Male,,,(591) 758-4453ashtonhanna@gmail.com,708000.0,
Joao,Thomas,Male,77.0,Married,(868) 694-8380joaothomas@gmail.com,328000.0,Yes
Sumayyah,Andersen,Female,39.0,Married,(333) 528-2260sumayyahandersen@gmail.com,311000.0,Yes
Hermione,Chambers,Female,55.0,Married,(733) 520-5821hermionechambers@gmail.com,167000.0,No
Filip,Maldonado,Male,27.0,Single,(759) 460-8220filipmaldonado@gmail.com,787000.0,Yes
Keanu,Quinn,Male,43.0,Married,(750) 8496452keanuquinn@gmail.com,354000.0,Yes
Lauren,Hogan,Female,,Single,(726) 630-4043laurenhogan@gmail.com,260000.0,
Ray,Schultz,Male,33.0,Single,(450) 9767499rayschultz@gmail.com,64000.0,No
Catherine,Johnson,Female,58.0,Married,(475) 356-6995catherinejohnson@gmail.com,320000.0,Yes
Kasey,Hartley,Male,55.0,Married,(734) 941-7926kaseyhartley@gmail.com,572000.0,Yes
Sasha,Connorrr,Female,48.0,Single,(340) 653-2348sashaconnor@gmail.com,714000.0,Yes
Sasha,Connor,Female,48.0,Single,(340) 653-2348sashaconnor@gmail.com,714000.0,Yes
Jannat,Harris,Female,41.0,Married,(266) 318-6686jannatharris@gmail.com,783000.0,Yes
Alessandro,Pratt,Male,61.0,Married,390 590-0537alessandropratt@gmail.com,441000.0,Yes
Flynn,Bloggs,Female,68.0,,(722) 551-5493flynnbloggs@gmail.com,74000.0,
Rebekah,Escobar,Male,32.0,Single,(819) 275-2204rebekahescobar@gmail.com,200000.0,No
Stephen,Dorsey,Male,21.0,Single,528 724-4113stephendorsey@gmail.com,232000.0,No
Fred,,Male,57.0,Married,(433) 735-3551fredblake@gmail.com,883000.0,Yes
,Blake,Male,57.0,Married,(433) 735-3551fredblake@gmail.com,883000.0,Yes
Fred,Blake,Male,57.0,Married,(433) 735-3551fredblake@gmail.com,883000.0,Yes
Vera,Gay,Female,,Married,(518) 597-9826veragay@gmail.com,549000.0,Yes
Victoria,Gallegos,Female,40.0,Single,(953) 954-5828victoriagallegos@gmail.com,840000.0,Yes
Ewan,Osborne,Male,59.0,Married,(875) 253-6641ewanosborne@gmail.com,917000.0,Yes
Shanice,Nolan,Female,20.0,Single,785423-0264shanicenolan@gmail.com,941000.0,Yes
Chantelle,Payne,Female,76.0,Married,(424) 304-5939chantellepayne@gmail.com,63000.0,No
Aleena,Evans,Female,61.0,Married,(381) 666-5997aleenaevans@gmail.com,468000.0,Yes
Teddy,Hebert,Male,49.0,,(816) 750-8753teddyhebert@gmail.com,205000.0,No
Lennon,Sharp,Female,61.0,Married,(672) 549-8462lennonsharp@gmail.com,584000.0,Yes
Frances,Larson,Female,63.0,Married,(790) 893-2198franceslarson@gmail.com,495000.0,
Arianna,Mosley,Female,26.0,Single,701 608-6760ariannamosley@gmail.com,585000.0,Yes
Juanita,Combs,Female,77.0,Married,(579) 481-0993juanitacombs@gmail.com,877000.0,Yes
Alex,Ferguson,Male,,,(692) 910-2171alexferguson@gmail.com,981000.0,Yes
Aneesa,Hodge,Female,23.0,Single,(695) 352-8648aneesahodge@gmail.com,206000.0,No
